Name,Category,Well_Known_Movie,Bio
Nishanth R.,Director,Bharata,Nishanth R
Babasaheb S. Fattelal,Director,Choricha Mamla,
Devika Mathur,Music Department,Guru,"Devika Mathur is a popular radio show host, syndicated in the United States on WorldBand Media"
Arunvignesh ADS,Cinematographer,Opura Volugu,
Timothy O'Brien,Production Designer,Night Must Fall,"With designing partner Tanzeena Firth, received two 1980 Tony Award nominations for ""Evita,"" as Best Scenic Designer and Best Costume Designer"
Ramesh Naidu,Production Manager,Sarkar,
Kezia Vargheese,Self,Commonwealth Games,"Kezia Vargheese was born on November 3, 1991 in Vandanmedu, Kerala, India"
Chaiti Nath,Art Department,Karma Is a She-Wolf,
Rajendra Yadav,Writer,Sara Akash,Hindi fiction writer
Akhil Kumar Yadav,Cinematographer,Watch Out,"Akhil Kumar Yadav (AKY) is a Film Director, Producer, Editor, Visual Effects Artist, Music Composer, Writer, Actor and Poet"
Jehangir Sabavala,Self,The Inheritance of Light: Jehangir Sabavala,"Jehangir Sabavala was born on August 23, 1922 in Bombay, Bombay Presidency, British India"
Sukracharyya Ghosh,Art Director,Family of Thakurganj,"is an Indian film art director, production designer, Hindi, Tamil, Telugu, Kannada and Bengali Film Industry"
Sushant Sharma,Editor,Mystery Man,"A graduate in Mass Communication, Sushant has mastered the art of cinematography and prides himself in knowing the intricacies"
Bhubaneshwar Misra,Composer,Samaya,
Peter Chippindale,Self,The London Programme,"Peter Chippindale was born on July 4, 1945 in Dehradun, British India as Peter Douglas Chippindale"
Datta Kulkarni,Writer,Mangalsutra,
Khayal Muhammad,Music Department,Dafa 302,Khyal Mohammad belongs to the Afridi tribe of Pushtuns
Shiva Thejus,Actor,Prince Vaali,"Shiva Thejus was born on December 26, 1982 in Hyderabad, Andhra Pradesh, India as Siva Theja Sanna Reddy"
Sanjay Manjrekar,Self,Indian Premier League,"Sanjay Manjrekar was born on July 12, 1965 in Mangalore, Mysore State, India"
Krtank Chaudhary,Writer,Coco,"Krtank Chaudhary, an Indie filmmaker, is a Journalism Graduate from Galgotias University, mostly known for his short film work"
Peter Stuart-Smith,Actor,The Boy David,"Peter Stuart-Smith was born in 1932 in Simla, West Bengal, India as Peter Charles Stuart-Smith"
Rinu Kamalamma Rajasekharan,Visual Effects,Piranha 3DD,
Kantilal Rathod,Director,Kanku,Father of director David Rathod
Jemin Jom Ayyaneth,Cinematographer,Yakshi Faithfully Yours,"He was born in Kudamukku, Pathanamthitta dist in Kerala(Southern kerala) on the 17th May 1989"
Dalip Kaur Tiwana,Writer,Babal Da Vehra,
Abdul Rehmaan,Director,Remembrance,"He studied film-making at State Institute of Film and Television, Rohtak (IN)"
Rohin Katthula,Producer,Psytrix,
Das Parthsarrthi,Actor,China Gate,"Das Parthsarrthi was born on March 7, 1973 in Bhusawal, Maharashtra, India"
Fenner Brockway,Self,Afternoon Plus,"Fenner Brockway was born on November 1, 1888 in Calcutta, British India as Archibald Fenner Brockway"
Srikanth Mangipudi,Visual Effects,Ghost in the Shell,
Norman Hackforth,Writer,Between Ourselves,"Norman Hackforth was born on December 20, 1908 in Gaya, Bengal Presidency, British India"
Gaurav,Director,Happy Birthday,
Angela Joyce,Actress,Bill's Legacy,"Angela Joyce was born on January 7, 1910 in Bombay, India"
Deepali Joshi,Music Department,Sainika,
V.C. Desai,Director,Sadhana,
Prathamesh Railkar,Sound Department,Peak XV,
Sridhar Annamalai,Animation Department,Little John,
Suprabha Debi,Director,Nayanmoni,
Aniket Trivedi,Sound Department,Kuch Pal Pyar Ke,"Since he was a child, he had a deep connection with music"
Yeti Jindal,Location Management,The Golden Child,
Jean Seton,Actor,The Kingdom of Twilight,"Jean Seton was born on February 13, 1903 in Indore, Madhya Pradesh, India as Jean Gordon Seton"
Harsha Setty,Writer,Verge of Happiness,"Having a deep study into the requirements of Visual Effects in the Film & Advertising industry from every perspective, Mr"
Varun Bagri,Actor,Slumdog Millionaire,"Varun Bagri was born in June 1986 in Mumbai, Maharahstra, India"
Ardhendu Bhattacharya,Director,Manik Raitong,"Ardhendu Bhattacharya was born in 1955 in Shillong, Assam, India"
Arun Kumar Boyidapu,Visual Effects,Dark Phoenix,
Karibasavaiah,Actor,Kiccha,Karibasavaiah was born in 1959 in India
Malika Pukhraj,Music Department,Shimmi,Mother of famous Pakistani female Ghazal singer Tahira Syed
Christy Johnson,Director,Helpline,"Christy Johnson was born on January 16, 1994 in Mumbai, India"
Shebana Coelho,Editor,Ceremony,
Ratna Maity,Producer,The Ode,
Annapurna Devi,Self,Ustad Alauddin Khan,"Annapurna Devi was born on April 23, 1927 in Maihar, Central India Agency, British India as Roshanara Khan"
Kuber Sarup,Actor,Bub (Father),"Kuber Sarup was born on November 20, 1986 in Jaipur, Rajasthan, India"
Ramananda Sen Gupta,Camera Department,The River,"Ramananda Sen Gupta was born on May 8, 1916 in Dacca, Bengal Presidency, British India"
Madhusudhana Rao D.,Producer,Donga Ramudu,Was awarded the prestigious Raghupathy Venkaiah award by the State Government of Andhra Pradesh for his outstanding contribution to Telugu cinema in 1993
Chandrasekhar Kambhar,Director,Kaadu Kudure,
Neelkanth Abhyankar,Composer,Sant Nivrutti Dnyandev,
Jojo Kottarakara,Actor,I Love You,"Jojo Kottarakara was born in 1986 in Kollam, Kerala, India"
Philip Stuart,Writer,Clara Gibbings,
Rajani Kanta Sen,Music Department,Mohunbaganer Meye,
Sarada Ukil,Actor,Prem Sanyas,"Sarada Ukil was born on November 14, 1888 in Bikrampur, Bengal Presidency, British India as Sarada Charan Ukil"
Brian Kingcome,Writer,Assignment Foreign Legion,"Brian Kingcome was born on May 31, 1917 in Calcutta, Bengal Presidency, British India as Brian Fabris Kingcome"
Denzil Batchelor,Writer,The Burgomeister,"Denzil Batchelor was born on February 23, 1906 in Bombay, Bombay Presidency, British India"
Shawn Milton,Cinematographer,Yeshu Ke Naam Se,
Balantrapu Rajanikanta Rao,Composer,Swargaseema,
Feroza Begum,Music Department,Badhu Bharan,
Naeem Chudawala,Visual Effects,Autómata,
Saon Maity,Assistant Director,The Machine,
Nadeem Rajani,Producer,sIDney,Developing TV Shows and Films in India through his companies MindsKey Media and Cross Culture Productions
Sounak Mukhopadhyay,Writer,Naseman,
Rajendra Hegde,Sound Department,Tum Bin...: Love Will Find a Way,
Sai Gurram,Sound Department,Wine & Dine,
Vishwamohan Bhatt,Soundtrack,Meet the Fockers,"Vishwamohan Bhatt was born on July 27, 1952 in Jaipur, Rajasthan, India"
Badal Sircar,Actor,Kaal Abhirati,"Badal Sircar was born on July 15, 1925 in Calcutta, Bengal Presidency, British India"
Elizabeth Henson,Actress,ITV Play of the Week,"Elizabeth Henson was born on January 31, 1926 in Pachmarhi, Madhya Pradesh, India as Elizabeth Mary Helen Henson"
Vrashal Tejasingh Chavan,Music Department,Talaash,
J.V.L. Narayana,Director,Unseen to Be Seen,"Hyderabad, Andhra Pradesh, India"
Beema Nagaraj,Director,Nyayakkagi Saval,
Addanki Subbaiah,Visual Effects,Enthiran,
Latif Kapadia,Actor,Very Good Dunya Very Bad Log,"Latif Kapadia was born on March 27, 1934 in Nasik, Bombay Presidency, British India"
Benjamin Hayeem,Director,Ha-Banana Hashehora,"Benjamin Hayeem was born on October 22, 1933 in Bombay, India"
Dushyant Kashyap,Visual Effects,Star Trek Beyond,Mumbai
Florence Ashbrooke,Actress,On Dangerous Ground,Florence Ashbrooke was born in 1861 in East India
Atul Prasad Sen,Music Department,Jodi Love Dile Na Prane,
Avs Kumar,Director,Zoe Files,
Sameerdatta,Actor,2 Friends,SameerDatta is an Indian film actor who works in Telugu Cinema as well as Kannada Cinema since 2016
Prayag Mukundan,Camera Department,Punyalan Agarbattis,
Shreyam Natani,Cinematographer,Labyrinth,"He was born in Mumbai, India to Kailash and Renu Natani"
Peter Tranchell,Music Department,Festival,
Karishma Gulati,Costume Department,Ek Villain,
Vivek Krishnan,Director,Without Cheese,"Vivek Krishnan was born on Febuary 16, 1992 in Cochin, Kerala, India"
Raja Mukherjee,Actor,Tomar Rakte Amar Sohag,"Raja Mukherjee was born on August 22, 1934 in Bankura, West Bengal, India"
Hriday Dubey,Writer,Rocky,God is very kind to me
Arun Sarma,Writer,Ajeyo,
Jamsheed Marker,Self,The Genocide Factor,"Jamsheed Marker was born on November 24, 1922 in Hyderabad, Telangana, India as Jamsheed Kekobad Ardeshir Marker"
Dilip Kumar Roy,Writer,Dekha,Son of Late Dwijendralal Roy
Mark Correia,Camera Department,Jhappi Jet,
Anaka Alankamony,Self,Commonwealth Games,"Anaka Alankamony was born on July 10, 1994 in Chennai, Tamil Nadu, India"
D.C. Kasundra,Director,The Magic Man,D
Pralhad Keshav Atre,Director,Shyamchi Aai,
Zaigham Hameed Butt,Producer,Baitless Hook,"Zaigham Hameed Butt is a young filmmaker who, over the span of three years, has worked over diverse mediums of moving image"
Ahmed Rahi,Music Department,Heer Ranjha,
Mukesh Radha Krishna Tak,Producer,Truck Driver,
Baby Saroja,Actress,Balayogini,"Baby Saroja was born on January 28, 1931 in British India as Saroja Ramamrutham"
Jebanezer Rajeev,Cinematographer,I Wish...,"A mechanical engineer by profession, Jebanezer Rajeev engaged himself with a corporate working environment for more than three and a half years before making a decision to pursue MBA degree from Indian Institute of Management (IIM)"
Shareen Yeyam,Special Effects,Anniyan,
Ritwik Sondhi,Editor,The Night Before Every Sunday,
Agha Nasir,Writer,Maikhana,"Agha Nasir was born on February 9, 1937 in Bombay, British India"
Parshwanath Yeshwant Altekar,Director,Geeta,"Parshwanath Yeshwant Altekar was born in 1897 in Kharepatan, Ratnagiri, India"
Shanti S. Varma,Director,Ready for Action,
Abhijit Agarwal,Director,The Hatted Room,
Prabhabati Devi Saraswati,Writer,Banglar Meye,
Rashid Attre,Composer,Shehri Babu,
Aideu Handique,Actress,Joymati,"Aideu Handique was born on June 27, 1915 in Panidihingia, Assam, India as Aideu Nilambar Handique"
Phyllis Beadon,Actress,Kilties Three,"Phyllis Beadon was born on March 27, 1889 in India as Phyllis Kate Glyn Beadon"
Siddharth Parashar,Composer,Swen,"Siddharth Parashar is a young Music Composer, Singer, Musician and Audiographer from Bhopal, India"
Narayanrao D. Sarpotdar,Director,Jai Vijay,"Also known as Nanasaheb Sarpotdar, he began his career on the stage before entering films during the silent era"
Rakesh Kathrotiya,Production Manager,Whisky Is Risky,
Sanjiv Monga,Cinematographer,Mrityubhoj: The Death Feast,Sanjiv Monga is a National Film Award winning Editor & Filmmaker with over 2 decades of experience
Shreeram Upadhyay,Director,Nava Hai Kya?,"A young film maker from India, After working as an Animator on Nickelodeon's 3d Animated TV series Casper Scare School Season 2, he went on to pursue his Masters in Theatre and Films"
Dhriti Pati Sarkar,Actor,Showcub,Dhriti Pati Sarkar Born in Bhilai Chhattisgarh India
Nicky Sitaram Sabnis,Self,Alpha Forum,"Nicky Sitaram Sabnis was born in 1959 in Kanpur, India"
Abdul Jabbar,Music Department,Nacher Putul,
Vipul Kapoor,Composer,10 Nahi 40,
Sanjiv Potnis,Producer,Karma: Crime. Passion. Reincarnation,
Joshana Chinappa,Self,Commonwealth Games,"Joshana Chinappa was born on September 15, 1986 in Chennai, Tamil Nadu, India"
Bishal S. Roy,Director,One Last Time,Bishal S Roy is a writer-director based in Mumbai working in the Hindi Digital industry
Nik Jackson,Actor,The Soup,"Nik Jackson was born on August 5, 1984 in New Delhi, India as Nikhil Jackson"
Rohini Bhate,Actress,Time and Space,"Rohini Bhate was born on November 14, 1924 in Patna, Bihar and Orissa Province, British India"
Kamaladevi,Actress,Karna,"Kamaladevi was born on February 4, 1930 in Chittor, Andhra Pradesh, India as Kamala Chandrababu"
Ali Sufiyan Afaqi,Writer,Meharbani,
Madhu Kaithapram,Director,Madhyavenal,
Shyam Bandugula,Director,Coupledom,
Debalina Majumder,Director,Ebong Bewarish (and the Unclaimed),Debalina is a filmmaker and cameraperson
Shushila Likmabam,Self,Commonwealth Games,"Shushila Likmabam was born on February 1, 1995 in Guwahati, Assam, India"
Rajan,Music Department,Eradu Kanasu,Elder of the composer duo of Rajan-Nagendra
V.K. Shenoy,Camera Department,Kali Topi Lal Rumal,"Cherthala, Alapuzha, Kerala, India"
Satya Oblette,Actor,Tonka,"Satya Oblette was born on January 3, 1976 in Pondichery, Hindustani, India"
Ankit Batala,Actor,Club 60,Ankit Bathla began working as a trainer with American Express before moving into acting
Chandra Kilaru,Director,A Step Toward Heaven,"His movies tend to revolve around the aspect of Love, where the central characters lives are affected by it"
Hiren Pandya Rahi,Writer,Kiski Kahani,
Rena Golden,Producer,Rwanda: Cry Justice,First worked as a producer for CNN in 1985
Ramaraju,Camera Department,Hanuman Junction,
Dilip Chitre,Music Department,Godam,
Rajveer Roy,Assistant Director,Jeena Isi Ka Naam Hai,
Nirmala,Self,Anderson Cooper 360°,"Nirmala was born on July 23, 1934 in Ranchi, Bihar and Orissa Province, British India"
Ramnidhi Gupta,Music Department,Charulata,
Ranadeb Bose,Self,Aborto,
Linga Babu,Cinematographer,Love Touch,Hyderabad
Alok Porwal,Actor,Life Express,"Alok Porwal was born in 1975 in Uttar Pradesh, India"
Arnold Lunn,Self,Sensation Alpen,"Arnold Lunn was born on April 18, 1888 in Madras, Madras Presidency, British India as Arnold Henry Moore Lunn"
Swaroop Sardeshmukh,Sound Department,Katyar Kaljat Ghusali,"Swaroop Sardeshmukh was born on March 11, 1988 in Pune, India"
Charles Wylie,Self,The Conquest of Everest,"Charles Wylie was born on December 24, 1919 in Bakloh, Himachal Pradesh, India as Charles Geoffrey Wylie"
K. Raghavan,Composer,Mamangam,He studied classical music at a young age
Atul Wassan,Actor,Dishoom,"Atul Satish Wassan was born on 23 March, 1967 in Delhi, India"
Venukuttan Nair,Actor,Ulkatal,"Venukuttan Nair was born in 1931 in Kerala, India"
Raj Bharath,Director,Iruttile Velicham,
Shahidullah Kaiser,Writer,Sareng Bou,
Pandit Chitresh Das,Self,Upaj: Improvise,"Pandit Chitresh Das was born in 1944 in Kolkata, India"
Semal Bhatt,Actor,Pela Adhi Akshar,"Semal Bhatt was born on November 18, 1988 in Mumbai, Maharahstra, India"
Ferdousi Priyobhashini,Self,1971,"Ferdousi Priyobhashini was born on February 19, 1947 in Khulna, Bengal Presidency, British India"
Kalamandalam Ramankutty Nair,Self,Kalamandalam Ramankutty Nair,Self |
Jatileshwar Mukherjee,Music Department,Garmil,
Annie Fortescue Harrison,Soundtrack,In the Gloaming,
Manmohan Manoj,Visual Effects,Men in Black: International,
Albela,Actor,International Gorillay,"Albela was born in 1941 in Gojra, Punjab, British India as Akhtar Hussain"
Ragni,Actress,Dasi,"Ragni was born in 1925 in Gujranwala, Punjab, British India as Irshad Begum"
Sharath Bharadwaj,Producer,Marasim,Sharath Bharadwaj is one of the founders of Filmfreak India Pvt Ltd
Aman Anand,Director,The Old & The Feeble,
Shivendu Menon,Editorial Department,Bandh Nylon Che,
Dinesh Raheja,Writer,Kasamh Se,"Dinesh Raheja (born March 31, 1957) is an Indian author, columnist, TV scriptwriter, film historian"
Nona Liddell,Music Department,Where the Wild Things Are,"Nona Liddell was born on June 9, 1927 in India"
Freda Falconer,Actress,Annie Laurie,"Freda was a well-known actress during the Second World War performing regularly in the BBC Radio Repertory, returning to work in London throughout the remaining Blitz years after her husband's death shot down over Berlin in a night bombing operation"
Jean Adrienne,Actress,The Broken Rosary,"Jean Adrienne was born on October 23, 1905 in Mussoorie, India"
John Mayer,Soundtrack,Get Carter,"John Mayer was born on October 28, 1930 in Calcutta, India"
K.V. Subanna,Writer,Ghatashraddha,
Subhaprasanna,Self,Kabir,"Subhaprasanna was born in 1947 in Calcutta, West Bengal, India"
Andrea Wulf,Self,Druckfrisch,"Andrea Wulf was born in 1972 in New Delhi, India"
Sonny Mehta,Self,Charlie Rose,"Sonny Mehta was born on November 9, 1942 in New Delhi, India as Ajai Singh Mehta"
Rupali Mehra,Producer,Shaurya: It Takes Courage to Make Right... Right,
Ojas Dileep Sawant,Editorial Department,Dhoom:3,"Ojas Sawant was born on 22 August 1991 in Mumbai, India"
Bipul Bhattacharya,Music Department,Lal Shobujer Pala,
Meghnad Bhattacharya,Actor,Nati Binodini,Meghnad Bhattacharya was born in 1952 in India
Sarah Erulkar,Director,The Hunch,Sarah Erulkar was a documentary film maker who was born on May 2nd 1923 and died on 29 May 2015
Malay Roy Choudhury,Writer,Stark Electric Jesus,"Malay Roy Choudhury was born on born 29 October 1939 in Patna, Bihar, India, into the Sabarna Roy Choudhury clan, which owned the villages that became Kolkata"
Sidharth Harikumar,Director,Saffron Ash,
Buddhadev Basu,Writer,Ekti Jiban,
Victoria Cross,Writer,Five Nights,
Shankarrao Vyas,Composer,Leatherface,
Amar Wala,Director,The Secret Trial 5,With his debut feature
Yusaf Ali Kechery,Director,Vanadevatha,
Abhishek Kashyap,Cinematographer,Return of Ranveer,"With a post graduate degree in mass communication/2 years diploma in film making and a mindset to experiment with the visual medium, Abhishek successfully turned his passion into his profession"
Mannan Munjal,Composer,Kaul,
Ghantasala Balaramaiah,Director,Swapna Sundari,"Ghantasala Balaramaiah was born in 1906 in Pottepalem, Andhra Paresh, India"
Rishab Rao Tiruvaloor Viavoori,Director,One Night,"Chicago, Il"
Shibram Chakraborty,Writer,Bari Theke Paliye,
Gangadhar Thalange,Producer,AmarJyoti AkkaMahadevi,Gangadhar by profession is engineer in software industry
Krishna Bhatt,Music Department,No Man's Land,"Krishna Bhatt was born in 1949 in Jaipur, Rajasthan, India as Krishna Mohan Bhatt"
Muralikrishnan Padmakumar,Director,Theppu Victim,
Madan Mohan Mehra,Director,Black Shadow,Brother of Krishna Dev Mehra
Suresh Sippy,Producer,Shaan,Brother of Ramesh Sippy
Tripuraneni Gopichand,Writer,Priyuralu,Father of actor Sai Chand
Pesi Karani,Director,Vasant Bengali,
Abhas Shrivastava,Editor,RevEnge,"Born and brought up in Gwalior, Abhas Shrivastava is Indian Film Editor, Producer & Creative Director"
Loose Mohan,Actor,Naanum Oru Thozhilaali,"Loose Mohan was born on February 8, 1928 in Kanchipuram, Madras Presidency, British India as A"
Alan Baby,Self,Commonwealth Games,"Alan Baby was born on December 21, 1995 in Muthalakodam, Kerala, India"
Astha Saxena,Director,My Little Sister,"Astha Saxena was born on December 1, 1992 in Delhi, India"
Syed Mehmood Ali,Actor,Insaan Aur Gadha,"Syed Mehmood Ali was born in 1928 in Hyderabad Deccan, British India"
Muriel Minty,Actress,Tesha,"Muriel Minty was born on January 9, 1890 in Fort William, West Bengal, India as Blanche Muriel Marguerite Minty"
Pamela Galloway,Actress,Meet Mr. Malcolm,"Pamela Galloway was born on October 25, 1928 in Calcutta, India"
Pandurang Talegiri,Director,Raktacha Sood,
Upendranath Ashk,Actor,Mazdoor,"Upendranath Ashk was born on December 14, 1910 in Jullundur, Punjab, British India"
Chaitanya Kumar Gandikota,Director,Epinephrine,
Vasantha Kumari M.L.,Music Department,Dakshayagnam,
Joseph Bunga,Producer,Battle of the Chefs S1,
Mithun Mannathkandy,Camera Department,Dil Dhadakne Do,"Mumbai, India"
Vineet Mathur,Actor,Rahul's Arranged Marriage,"Vineet Mathur was born on January 27, 1983 in New Delhi, India"
Sukanta Bhattacharya,Writer,Komal Gandhar,Uncle of Buddhadeb Bhattacharya
M.V.S. Harnatha Rao,Writer,Desamlo Dongalupaddaru,M
Sreeraj Nadarajan,Cinematographer,Alfie,
Amala Shankar,Actress,Kalpana,"Amala Shankar was born on June 27, 1919 in Bengal Presidency, British India as Amala Nandy"
Mayur Walinjkar,Editor,Ghoom,
Ishwar Chandra Vidyasagar,Writer,Bhranti Bilas,
Bhupender Singh Sandhu,Producer,Sisters: A Secret Unveiled,
Jaishankar Chigurula,Director,21,Jaishankar Chigurula wanted to be a filmmaker from his schooldays
Harry Grover,Actor,Treat You Better: Cover by Harry Grover,"Harry Grover is International Singer-Songwriter, Record Producer & actor"
Phanindhra Raju,Actor,Taven,"Phanindhra Raju is born in Proddatur, Andhra Pradesh, India on September 26, 1983"
Akhilesh Verma,Writer,Guy in the blue,
Sastry K.N.T.,Director,Tiladaanam,
Bernard Johnson,Actor,Folio,"Bernard Johnson was born on June 18, 1918 in India"
Fariduddin Dagar,Composer,Satah Se Uthata Aadmi,"Fariduddin Dagar was born on June 15, 1932 in Udaipur, Rajasthan, India"
Sathish Shankutty,Cinematographer,Benazir,
Aamil Keeyan Khan,Writer,Rashk,"Aamil Keeyan Khan was born on November 18, 1988 in Jamshedpur, India"
Jayant V. Narlikar,Self,The Universe: Cosmology Quest,Jayant V
Pittamandalam Venktatachalapathy Pathy,Director,Paris by Night,
U.R. Jeevarathnam,Actress,Kannagi,U
Suhit Abhyankar,Composer,Tattaad,
Arthur Playfair,Actor,Judged by Appearances,"Arthur Playfair was born on October 20, 1869 in Ellichpur, Hyderabad State, British India as Arthur Wyndham Spedding Playfair"
Isac Mukul Barslev,Cinematographer,Venner I Dag,"Isac Mukul Barslev was born on October 19, 1995 in Mumbai, India"
Hari Harilela,Self,V.I.P.-Schaukel,"Hari Harilela was born on August 10, 1922 in Hyderabad, Telangana, India"
Ram Mohan,Special Effects,Do Aur Do Paanch,
I.K. Gujral,Self,Indira Gandhi: The Death of Mother India,I
Siddharth Jain,Writer,Ek,
Sahil Chawla,Visual Effects,Godzilla,"Vancouver, British Columbia, Canada"
Ashutosh Kushwaha,Actor,Dil Patang,Ashutosh Kushwaha was born on 8 November 1998 in Bihar
Sunyam Riegger,Camera Department,L'amour toujours,"Sunyam Riegger was born on February 10, 1977 in Auroville, Podicherry, Tamil Nadu, India"
Raj Rathod,Actor,Jaana Main Tera Deewana by Raj Rathod,"Raj Rathod is an Actor, Writer and Producer"
Rathish Kannana,Camera Department,Anbe Sivam,
Asim Bose,Cinematographer,Kaamatur: Lovesick,
Ashish,Visual Effects,Stronger,
A.K. Kamalan,Actress,Seva Sadan,A
Prafulla Kar,Music Department,Shesha Shrabana,"Prafulla Kar was born on February 2, 1939 in Puri, Orissa, India"
Jerry Ram,Actor,The Rise and Rise of Michael Rimmer,"Jerry Ram was born on October 5, 1946 in New Delhi, India"
Seshi Ten Tagudh,Director,Melong,
Kaushik Iyer,Editor,Tamas,"Kaushik Iyer was born on November 4, 1987 in Mumbai, Maharahstra, India"
Jiggs Kalra,Director,Daawat,"Jiggs Kalra was born on May 21, 1948 in India as Jaspal Inder Singh Kalra"
Rasshi Ganeriwal,Visual Effects,Watchmen,
Rajasri,Writer,Kadhalan,
Abhay Joshi,Assistant Director,Tanu Weds Manu Returns,
Raja Sandow P.K.,Actor,Karna,Raja Sandow P
Shweta Joshi,Producer,Sasu Cha Swayamwar,
Nilanjan Datta,Actor,Et Tu Brute...?,"Nilanjan Datta was born on August 4, 1978 in Kolkata, West Bengal, India"
Kottarakkara Kuttan Pillai,Actor,Chitra Mela,"Kottarakkara Kuttan Pillai was born in 1924 in Kottarakkara, Kerala, India"
Rohan Murkar,Producer,Sasu Cha Swayamwar,"Rohan Murkar was born on November 5, 1990 in Mumbai, Maharahstra, India"
Kaushal Inamdar,Composer,Sound of Heaven: The Story of Balgandharva,"Kaushal Inamdar was born on October 2, 1971 in Mumbai, India"
Yogesh Tevatia,Producer,Raanjhanaa,"Yogesh Tevatia was born on July 6, 1971 in Ahmedabad, India"
Griffith Edwards,Self,Jonathan Dimbleby,"Griffith Edwards was born on October 3, 1928 in Uttar Pradesh, India as James Griffith Edwards"
Kondapaneni MuraliDhar,Art Department,Police Alludu,Son of Ramalingeswararao Kondapaneni
Sahil Bhardwaj,Writer,Forsake,"Sahil Bhardwaj is an Indian Filmmaker, Screenwriter and Actor best known for his short film"
Rahul Mehta,Assistant Director,A Flying Jatt,
Shokri Amirali,Actor,Álom.net,"Shokri Amirali was born on January 22, 1997 in Mumbai, India"
Manav Doshi,Camera Department,Chai,
Nimit Singh,Editor,A Sacred River,"Nimit was born in the holy city Varanasi, Uttar Pradesh, India"
Nayan Kumar,Visual Effects,Tera Intezaar,
Gautam Kohli,Assistant Director,Zinda,
Roderick MacFarquhar,Self,Biography,"Roderick MacFarquhar was born on December 2, 1930 in Lahore, Punjab, British India"
Bryan Drew,Actor,Solo for Canary,"Bryan Drew was born on June 9, 1928 in Bangalore, India as Bryan Gordon Drew"
G.R. Mane,Actor,Udaykal,G
Rakesh Mukherjee,Visual Effects,Aquaman,
Adeline Bourne,Actress,Hamlet,"Adeline Bourne was born on January 8, 1873 in Cuttack, Odisha, India as Selina Frances Manson"
S.H. Raza,Self,Pulse: The Desi Beat,S
Srijit Basu,Cinematographer,The window the tree & the train,
Vikash Sharma,Visual Effects,Total Recall,
Sanjit Sil,Actor,Brothers in Trouble,"Sanjit Sil was born on August 15, 1969 in Calcutta, West Bengal, India"
Manpal Singh,Composer,The Blood Street-challenge to System,"Guitarist , Vocalist , Programmer , Composer & Music Producer , Manpal Singh Hails from Punjab India"
Moolgaonkar,Sound Department,Awara Badal,
Hugh Moss,Director,Here's Health Unto His Majesty,
Karan Shetty,Director,Cuddly,
Kapil Pal,Actor,Ramad,"Kapil Pal was born on February 26, 1988 in India"
Mehroo,Actress,Rifle Girl,"Mehroo was born on May 10, 1933 in Bombay, India"
Narasimhabharati,Actor,Digambara Samiyar,"Narasimhabharati was born on March 24, 1923 in Madras, India"
Sunil Tomar,Editor,Ek Peg,
L.S. Sheshagiri Rao,Writer,Muyyi,
Jay Javeri,Assistant Director,Samay: When Time Strikes,
Amarjit Nagi,Self,Commonwealth Games,"Amarjit Nagi was born on March 26, 1993 in Amritsar, Punjab, India"
Parth Patel,Actor,Tech Only News,"Parth Patel was born on May 19, 1997 in Ahmedabad, India"
Sanjay Subramanyam,Actor,Logic Illadh Magic,"Sanjay Subramanyam was born on January 6, 1976 in Bangalore, Karnataka, India as Sanjay Balasundaram Subramanyam"
Pravin Chaudhari,Art Department,Tumbbad,
Kausar Perveen,Music Department,Ayaz,Sister of Asha Posley
Homai Vyarawalla,Self,Three Women and a Camera,"Homai Vyarawalla was born on December 9, 1913 in Navsari, Gujarat, British India"
V.K. Krishna Menon,Self,This Week,V
Emile Elsenaar,Actor,Vindicta,"Emile Elsenaar was born on November 11, 1990 in Bombay, India as Emile Vinesh Elsenaar"
Nancy Thomas,Producer,Monitor,"Nancy Thomas was born on August 23, 1918 in Ranikhet, Uttarakhand, British India as Nancy Bingham"
Lagadapati Sirisha Sridhar,Producer,Evadi Gola Vadide,
S. Soundararajan,Director,Navvite Navaratnalu,
Kapil Kumar Jain,Actor,Win Marathon,"Kapil Kumar Jain was born on July 17, 1987 in India"
Param Vyas,Director,Direct Connect,
Harman,Producer,Fees,"Harman is an Indian film director, cinematographer, editor and writer"
Saumyen Mukherji,Director,Priya Bandhabi,
Michael Heyland,Director,H.M.S. Pinafore,"Michael Heyland was born on November 4, 1940 in Kolkata, India as Arthur Rowley Michael Alexander Heyland"
Kishan Shetty,Actor,Aa Dinagalu,"Kishan Shetty was born on February 4, 1976 in Bangalore, Karnataka, India"
V.G. Jog,Actor,Brahmachari,V
Tejinderpal Singh,Director,Double Vision,"Tejinderpal Singh was born in Satnampura, Punjab"
Celia Paul,Self,The Last Art Film,Celia Paul was born in 1959 in India
Lokesh Srinivasan,Assistant Director,Saaho,"Lokesh Srinivasan was born in Bangalore, Karnataka, India"
Lila Dulali,Actress,Kaberi,"Lila Dulali was born in 1938 in Parvatipuram, Andhra Pradesh, India"
Zohrabai Ambalawali,Music Department,Anmol Ghadi,
Paridnya Patil,Costume Designer,Trupti: Gujarati,
Idries Shah,Writer,The Dermis Probe,
Ginesh Gandhi,Visual Effects,Ghost in the Shell,
Pinaki Chaudhuri,Director,Apon Gharey,
